cue,escuela,lat,lon,estado,motivo,localidad
060046401,CENTRO DE ADULTOS Nº707/01,-34.642988,-58.630864,amarillo,Caños o flexibles deteriorados,CASTELAR
061368002,CENTRO DE ADULTOS Nº711/02,-34.657938,-58.594146,amarillo,Caños o flexibles deteriorados,HAEDO
060423200,CENTRO DE ADULTOS Nº715 CRISTO REY,-34.630356,-58.597179,amarillo,Equipamiento de emergencia ausente,EL PALOMAR
061302103,CENTRO DE ADULTOS Nº716/03,-34.689209,-58.636573,amarillo,Calefacción no llega a todas las aulas en uso,MORON
062241100,CENTRO DE EDUCACIÓN FÍSICA Nº149,-34.626200,-58.579446,amarillo,Calefacción no llega a todas las aulas en uso,HAEDO
061518000,CENTRO DE FORMACIÓN INTEGRAL Nº2,-34.655139,-58.621474,amarillo,Caños o flexibles deteriorados,MORON
062426700,CENTRO DE FORMACIÓN LABORAL Nº408,-34.648423,-58.623169,amarillo,Caños o flexibles deteriorados,MORON
062473800,CENTRO DE FORMACIÓN LABORAL Nº 409,-34.647638,-58.615551,amarillo,Caños o flexibles deteriorados,MORON
061518200,CENTRO DE FORMACIÓN PROFESIONAL Nº401,-34.643868,-58.592244,amarillo,Caños o flexibles deteriorados,HAEDO
061650600,CENTRO EDUCATIVO COMPLEMENTARIO N° 1 MELVIN JONES,-34.633520,-58.652356,amarillo,Caños o flexibles deteriorados,CASTELAR
061650700,CENTRO EDUCATIVO COMPLEMENTARIO Nº 2 TERRITORIO DE PALABRAS,-34.686489,-58.652957,amarillo,Calefacción no llega a todas las aulas en uso,CASTELAR
061072800,CENTRO EDUCATIVO DE NIVEL SECUNDARIO N°462,-34.616272,-58.582620,amarillo,Estado edilicio regular,EL PALOMAR
062372100,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº460,-34.640307,-58.646883,amarillo,Caños o flexibles deteriorados,CASTELAR
062372300,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº463,-34.690161,-58.632729,amarillo,Caños o flexibles deteriorados,MORON
060588500,CENTRO EDUCATIVO NIVEL SECUNDARIO Nº451,-34.653391,-58.617643,amarillo,Calefacción no llega a todas las aulas en uso,MORON
061073100,CENTRO EDUCATIVO NIVEL SECUNDARIO Nº453,-34.629149,-58.572749,amarillo,Calefacción no llega a todas las aulas en uso,VILLA SARMIENTO
062262300,CENTRO INVESTIGACIÓN EDUCATIVA MARÍA ELENA WALSH,-34.651279,-58.612691,amarillo,Equipamiento de emergencia ausente,MORON
060266500,ESCUELA DE ADULTOS Nº705,-34.683231,-58.661647,amarillo,Caños o flexibles deteriorados,CASTELAR
060022500,ESCUELA DE EDUCACIÓN PRIMARIA Nº100 SAVERIO LAIACONA,-34.638330,-58.608210,amarillo,Caños o flexibles deteriorados,HAEDO
060014600,ESCUELA DE EDUCACIÓN PRIMARIA Nº105 REPUBLICA DE ITALIA,-34.638270,-58.637850,amarillo,Calefacción no llega a todas las aulas en uso,CASTELAR
060968300,ESCUELA DE EDUCACIÓN PRIMARIA Nº14 LEOPOLDO LUGONES,-34.660626,-58.620549,amarillo,Menos del 80% de aulas calefaccionadas,MORON
060050100,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 DOMINGO FAUSTINO SARMIENTO,-34.635773,-58.592056,amarillo,Estado edilicio regular,HAEDO
060425500,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 CNEL. DE MARINA NICOLAS JORGE,-34.648648,-58.602488,amarillo,Calefacción no llega a todas las aulas en uso,HAEDO
060616000,ESCUELA DE EDUCACIÓN PRIMARIA Nº19 EJERCITO DE LOS ANDES,-34.640203,-58.619765,amarillo,Calefacción no llega a todas las aulas en uso,MORON
060055300,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 NUESTRA SEÑORA DEL CARMEN,-34.657247,-58.606303,amarillo,Calefacción no llega a todas las aulas en uso,MORON
061072700,ESCUELA DE EDUCACIÓN PRIMARIA Nº24 PATRICIAS ARGENTINAS,-34.636599,-58.564618,amarillo,Calefacción no llega a todas las aulas en uso,VILLA SARMIENTO
060422700,ESCUELA DE EDUCACIÓN PRIMARIA Nº36 TENIENTE MANUEL FELIX ORIGONE,-34.615739,-58.581946,amarillo,Calefacción no llega a todas las aulas en uso,EL PALOMAR
060963100,ESCUELA DE EDUCACIÓN PRIMARIA Nº57 BRIGADIER ALBERTO SOLÁ CLARET,-34.672526,-58.612757,amarillo,Menos del 80% de aulas calefaccionadas,MORON
060053300,ESCUELA DE EDUCACIÓN PRIMARIA Nº78 FRANCISCO PERITO MORENO,-34.627465,-58.606063,amarillo,Calefacción no llega a todas las aulas en uso,EL PALOMAR
060624000,ESCUELA DE EDUCACIÓN PRIMARIA Nº93 MARCELINO CHAMPAGNAT,-34.623174,-58.599042,amarillo,Estado edilicio regular,EL PALOMAR
060616900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº12,-34.640300,-58.646917,amarillo,Calefacción no llega a todas las aulas en uso,CASTELAR
060271100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 LEANDRO N ALEN,-34.616242,-58.582629,amarillo,Calefacción no llega a todas las aulas en uso,EL PALOMAR
062004100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº58,-34.633123,-58.575079,amarillo,Calefacción no llega a todas las aulas en uso,VILLA SARMIENTO
060554100,ESCUELA ESPECIAL Nº502 DR. T. ATILIO BUSTOS,-34.652308,-58.622912,amarillo,Calefacción no llega a todas las aulas en uso,MORON
061073800,JARDÍN DE INFANTES Nº913,-34.632906,-58.574970,amarillo,Estado edilicio regular,VILLA SARMIENTO
060004300,JARDÍN DE INFANTES Nº 915 LUIS RICARDO ESCALANTE,-34.676292,-58.662602,amarillo,Estado edilicio regular,CASTELAR
060425400,JARDÍN DE INFANTES Nº918 DALMACIO VÉLEZ SARSFIELD,-34.655439,-58.596334,amarillo,Estado edilicio regular,HAEDO
060046000,JARDÍN DE INFANTES Nº920 MISKY HUA HUA,-34.635889,-58.592506,amarillo,Estado edilicio regular,HAEDO
060014500,JARDÍN DE INFANTES Nº924 MIGUEL LILLO,-34.638370,-58.638403,amarillo,Estado edilicio regular,CASTELAR
060014400,JARDÍN DE INFANTES Nº925,-34.634478,-58.646417,amarillo,Menos del 80% de aulas calefaccionadas,CASTELAR
060422800,JARDÍN DE INFANTES Nº927 ALMAFUERTE,-34.619400,-58.586990,amarillo,Calefacción no llega a todas las aulas en uso,EL PALOMAR
061574700,JARDÍN DE INFANTES Nº932 MARIANO MORENO,-34.678250,-58.622093,amarillo,Calefacción no llega a todas las aulas en uso,MORON
060272400,JARDÍN MUNICIPAL Nº4 CONSTANCIO C. VIGIL,-34.628610,-58.587887,amarillo,Estado edilicio regular,EL PALOMAR
060266900,JARDÍN MUNICIPAL Nº5 PORTAL DE BELÉN,-34.686699,-58.653668,amarillo,Calefacción no llega a todas las aulas en uso,CASTELAR
060726400,JARDÍN MUNICIPAL Nº9 SUEÑO DE MI BARRIO,-34.677882,-58.639700,amarillo,Estado edilicio regular,MORON
061643700,C.E.B.A.S. Nº28,-34.652307,-58.622578,rojo,Medidor o artefacto clausurado por la distribuidora,MORON
061302102,CENTRO DE ADULTOS Nº706/03,-34.674459,-58.631102,rojo,Sectores del edificio clausurados,MORON
061368001,CENTRO DE ADULTOS Nº708/02,-34.653761,-58.617979,rojo,Techos en estado malo,MORON
061302101,CENTRO DE ADULTOS Nº709/03,-34.690687,-58.632431,rojo,Techos en estado malo,MORON
061072901,CENTRO DE ADULTOS Nº710/04,-34.641329,-58.613353,rojo,Sectores del edificio clausurados,EL PALOMAR
061072902,CENTRO DE ADULTOS Nº712/04,-34.626096,-58.579482,rojo,Sectores del edificio clausurados,EL PALOMAR
062068800,CENTRO DE FORMACIÓN PROFESIONAL MANUEL BELGRANO,-34.647171,-58.619147,rojo,Salidas de emergencia obstruidas,MORON
061518300,CENTRO DE FORMACIÓN PROFESIÓNAL Nº403,-34.677652,-58.637614,rojo,Techos en estado malo,MORON
061613800,CENTRO DE FORMACIÓN PROFESIONAL Nº406,-34.654215,-58.622638,rojo,Paredes en estado malo,MORON
062178000,CENTRO DE FORMACIÓN PROFESIONAL Nº407,-34.653535,-58.622905,rojo,Techos en estado malo,MORON
062371800,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº457,-34.651750,-58.611952,rojo,Techos en estado malo,MORON
062371900,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº458,-34.654164,-58.636462,rojo,Paredes en estado malo,CASTELAR
062372200,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº461,-34.687136,-58.652755,rojo,Techos en estado malo,CASTELAR
060266100,CENTRO EDUCATIVO NIVEL SECUNDARIO Nº454,-34.676625,-58.663438,rojo,Techos en estado malo,CASTELAR
061903800,CENTRO EDUCATIVO NIVEL SECUNDARIO Nº456,-34.698816,-58.644440,rojo,Sin agua corriente,MORON
062077300,CENTRO MUNICIPAL DE FORMACIÓN PROFESIONAL Nº1 RICARDO ROJAS,-34.643986,-58.589036,rojo,Salidas de emergencia obstruidas,HAEDO
060553700,CONSERVATORIO DE MUSICA DE MORON ALBERTO GINASTERA,-34.652503,-58.622545,rojo,Salidas de emergencia obstruidas,MORON
060968200,ESC. ESP. MUN. P/ NIÑOS SORDO E HIPOACUSICOS RAMON CARRILLO,-34.640503,-58.603830,rojo,Techos en estado malo,HAEDO
060046400,ESCUELA DE ADULTOS Nº701 COMODORO PEDRO ZANNI,-34.637880,-58.626935,rojo,Salidas de emergencia obstruidas,CASTELAR
061302100,ESCUELA DE ADULTOS Nº703 FLORENTINO AMEGHINO,-34.698849,-58.644453,rojo,Sin agua corriente,MORON
061517800,ESCUELA DE EDUCACIÓN ARTÍSTICA Nº2 XUL SOLAR,-34.652648,-58.613900,rojo,Salidas de emergencia obstruidas,MORON
060473000,ESCUELA DE EDUCACIÓN PRIMARIA Nº108 MANUEL DORREGO,-34.649348,-58.624385,rojo,Aulas en uso sin calefacción,MORON
061312600,ESCUELA DE EDUCACIÓN PRIMARIA Nº109 PROFESOR ALEJANDRO POSADAS,-34.628469,-58.577707,rojo,Techos en estado malo,HAEDO
060423100,ESCUELA DE EDUCACIÓN PRIMARIA Nº11 REMEDIOS ESCALADA DE SAN MARTIN,-34.631902,-58.569967,rojo,Salidas de emergencia obstruidas,VILLA SARMIENTO
060425600,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 ALMIRANTE GUILLERMO BROWN,-34.651704,-58.612693,rojo,Techos en estado malo,MORON
060554000,ESCUELA DE EDUCACIÓN PRIMARIA Nº1 TENIENTE GENERAL JULIO A. ROCA,-34.655020,-58.622632,rojo,Techos en estado malo,MORON
061072400,ESCUELA DE EDUCACIÓN PRIMARIA Nº21 GRAL. MANUEL BELGRANO,-34.637794,-58.572434,rojo,Sectores del edificio clausurados,VILLA SARMIENTO
060615600,ESCUELA DE EDUCACIÓN PRIMARIA Nº23 HIPOLITO YRIGOYEN,-34.639218,-58.594380,rojo,Techos en estado malo,HAEDO
