municipio,total,rojo,amarillo,verde
ALMIRANTE BROWN,61,44,8,9
AVELLANEDA,4,2,1,1
BOLIVAR,25,14,9,2
CHASCOMUS,1,1,0,0
CHIVILCOY,9,8,1,0
CORONEL DE MARINA L ROSALES,1,0,1,0
CORONEL SUAREZ,16,0,7,9
DOLORES,43,43,0,0
ENSENADA,30,17,8,5
ESTEBAN ECHEVERRIA,22,19,2,1
EZEIZA,2,1,1,0
FLORENCIO VARELA,10,6,4,0
GENERAL ALVARADO,45,28,17,0
GENERAL LAS HERAS,5,1,4,0
GENERAL PUEYRREDON,1,1,0,0
GENERAL SAN MARTIN,119,56,61,2
HURLINGHAM,12,5,7,0
ITUZAINGO,15,10,4,1
LA MATANZA,111,62,27,22
LANUS,8,6,1,1
LA PLATA,424,247,175,2
LAPRIDA,36,28,5,3
LINCOLN,5,2,3,0
LOMAS DE ZAMORA,3,2,1,0
LUJAN,37,3,14,20
MERLO,33,20,6,7
MONTE,22,14,8,0
MORENO,2,2,0,0
MORON,119,65,45,9
OLAVARRIA,4,4,0,0
PUNTA INDIO,18,5,12,1
QUILMES,6,0,5,1
SAN FERNANDO,12,1,1,10
SAN MIGUEL,11,6,4,1
TORNQUIST,45,2,22,21
VICENTE LOPEZ,3,3,0,0
VILLA GESELL,34,33,1,0
